Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
78,1063309956,fortheoffice (8/10),0,104.75,P Mike Clevinger P Luke Weaver OF Rhys Hoskins 1B Carlos Santana C Willson Contreras SS Addison Russell 3B Maikel Franco OF Odúbel Herrera 2B Ben Zobrist OF Nick Williams,,Jesús Aguilar,1B,3.40%,2
79,1063140122,BirdWings (2/2),0,104.55,P Charlie Morton P Luke Weaver SS Carlos Correa OF George Springer 3B Alex Bregman OF Brett Gardner 1B Tyler Austin OF Domingo Santana 2B Neil Walker C Max Stassi,,Tim Anderson,SS,3.20%,8
79,1063500313,Seaweed81,0,104.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF Lorenzo Cain 1B Ryan Braun 2B César Hernández 3B Maikel Franco C Yan Gomes OF Domingo Santana SS Ronald Torreyes,,Mike Moustakas,3B,3.20%,6
81,1063108465,youdacao (11/15),0,104.35,P José Quintana P Luke Weaver 2B José Altuve 3B Kris Bryant OF Kyle Schwarber SS Manny Machado C Willson Contreras OF Ben Zobrist 1B Trey Mancini OF Albert Almora Jr.,,Carlos Gómez,OF,3.20%,10
81,1063467305,Awesemo (10/15),0,104.35,P José Quintana P Luke Weaver OF Rhys Hoskins OF Mookie Betts OF J.D. Martinez 1B Carlos Santana 3B Rafael Devers 2B César Hernández SS J.P. Crawford C Andrew Knapp,,Justin Bour,1B,3.20%,7
81,1063494740,zhatch123,0,104.35,P José Quintana P Luke Weaver OF Aaron Judge OF Mookie Betts SS Xander Bogaerts 3B Manny Machado OF Brett Gardner C Evan Gattis 2B Jonathan Schoop 1B Matt Carpenter,,Leury García,OF,3.00%,0
84,1063576792,GrindersCal (3/3),0,103.9,P Jameson Taillon P Eduardo Rodríguez OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi SS Paul DeJong 3B Jeimer Candelario 1B Mitch Moreland C Christian Vázquez 2B Niko Goodrum,,Tucker Barnhart,C,3.00%,0
85,1063184368,crump11 (2/3),0,103.55,P Charlie Morton P Jameson Taillon SS Carlos Correa OF Marcell Ozuna 3B Maikel Franco OF Tommy Pham OF José Martínez 2B Neil Walker 1B Matt Carpenter C Austin Romine,,Max Stassi,C,3.00%,18
86,1063519248,Mishkin,0,103.4,P Jameson Taillon P Reynaldo López OF Mookie Betts SS Xander Bogaerts 1B Matt Davidson 2B César Hernández OF Marcell Ozuna 3B Maikel Franco C Yadier Molina OF José Martínez,,Paul DeJong,SS,3.00%,0
87,1063290441,COYLER5186,0,103.35,P José Quintana P Luke Weaver OF Aaron Judge 1B Edwin Encarnacion 2B José Ramírez SS Manny Machado OF Brett Gardner 3B Mike Moustakas OF Odúbel Herrera C Andrew Knapp,,Lucas Duda,1B,2.60%,3
88,1063446318,windchimesRrude (2/2),0,102.5,P Jake Arrieta P José Quintana OF Aaron Judge SS Carlos Correa C Willson Contreras 2B Whit Merrifield 3B Mike Moustakas OF Jon Jay 1B Lucas Duda OF Jorge Soler,,Corey Dickerson,OF,2.40%,14
89,1063289598,fatqb3,0,102.4,P Jameson Taillon P Jordan Montgomery OF Aaron Judge OF Andrew Benintendi SS Xander Bogaerts 1B Ryan Braun OF Brett Gardner 2B Eduardo Núñez 3B Maikel Franco C Austin Romine,,J.P. Crawford,SS,2.40%,0
90,1063492703,Legit-Storm (2/4),0,101.6,P Charlie Morton P Mike Clevinger 1B Paul Goldschmidt OF A.J. Pollock OF David Peralta 2B Ketel Marte SS José Peraza C Tucker Barnhart 3B Jace Peterson OF Braxton Lee,,Jesús Sucre,C,2.20%,2
91,1063253089,dandydon (3/5),0,101.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Lorenzo Cain C Willson Contreras SS Addison Russell 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist OF Albert Almora Jr.,,Matt Duffy,3B,2.20%,10
91,1063530963,bquicksix (3/3),0,101.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins 3B Matt Davidson 1B José Abreu 2B Yoán Moncada C Welington Castillo OF Odúbel Herrera OF Nick Williams SS Daniel Robertson,,Danny Valencia,3B,2.20%,20
93,1063101535,wcdenin24 (1/8),0,101.35,P Jameson Taillon P Taijuan Walker SS Francisco Lindor 3B José Ramírez OF Starling Marte OF Ryan Braun 2B Jason Kipnis C Yan Gomes 1B Neil Walker OF Carlos Gómez,,Derek Dietrich,OF,2.20%,3
94,1063523552,fantasyfever (6/9),0,101.25,P Charlie Morton P Jordan Montgomery OF Mookie Betts OF Andrew Benintendi 2B Starlin Castro 3B Brian Anderson OF Derek Dietrich C Welington Castillo 1B Justin Bour SS Miguel Rojas,,Paul Goldschmidt,1B,2.00%,0
95,1063561167,Wojo29,0,100.75,P Mike Clevinger P Luke Weaver OF Rhys Hoskins 2B José Ramírez SS Xander Bogaerts 3B Maikel Franco OF Michael Brantley C Yan Gomes OF Odúbel Herrera 1B Justin Bour,,Joey Votto,1B,2.00%,0
96,1063156165,scout326 (4/15),0,100.55,P José Quintana P Eduardo Rodríguez OF Mookie Betts SS Xander Bogaerts 1B Hanley Ramirez 3B Rafael Devers 2B Eduardo Núñez OF Tommy Pham C Yadier Molina OF Dexter Fowler,,José Peraza,SS,2.00%,0
97,1063261147,trebelg9,0,100.35,P José Quintana P Luke Weaver OF Aaron Judge OF Mookie Betts SS Manny Machado OF Ryan Braun 3B Alex Bregman C Evan Gattis 2B Jonathan Schoop 1B Neil Walker,,C.J. Cron,1B,2.00%,16
98,1063277540,REDCOAT85 (1/15),0,100.05,P Jake Arrieta P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge C Willson Contreras OF Brett Gardner 2B Neil Walker 1B Trey Mancini 3B Danny Valencia SS Ronald Torreyes,,Taijuan Walker,P,2.00%,14.5
99,1063109990,shawnzhan (15/15),0,99.35,P José Quintana P Luke Weaver OF Aaron Judge 2B José Ramírez 3B Matt Davidson 1B José Abreu C Willson Contreras SS Tim Anderson OF Avisaíl García OF Leury García,,Hernán Pérez,OF,2.00%,0
99,1063178727,m3deman (1/3),0,99.35,P José Quintana P Luke Weaver OF Rhys Hoskins OF J.D. Martinez SS Xander Bogaerts 3B Manny Machado C Willson Contreras 2B Jonathan Schoop 1B Matt Carpenter OF Trey Mancini,,Scooter Gennett,2B,1.80%,2
101,1063554868,MIKERUSH10,0,99.3,P Jake Arrieta P Chase Anderson OF Rhys Hoskins OF Aaron Judge SS Eduardo Núñez 3B Tim Beckham C Yan Gomes 1B Neil Walker 2B Yolmer Sánchez OF Niko Goodrum,,Jesse Winker,OF,1.80%,0
