Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
91,1063530963,bquicksix,101.55,Danny Valencia,3B,2.20,20,Charlie Morton,Luke Weaver,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Daniel Robertson,"Rhys Hoskins,Odubel Herrera,Nick Williams"
93,1063101535,wcdenin24,101.35,Derek Dietrich,OF,2.20,3,Jameson Taillon,Taijuan Walker,Yan Gomes,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Starling Marte,Ryan Braun,Carlos Gomez"
94,1063523552,fantasyfever,101.25,Paul Goldschmidt,1B,2.00,0,Charlie Morton,Jordan Montgomery,Welington Castillo,Justin Bour,Starlin Castro,Brian Anderson,Miguel Rojas,"Mookie Betts,Andrew Benintendi,Derek Dietrich"
95,1063561167,Wojo29,100.75,Joey Votto,1B,2.00,0,Mike Clevinger,Luke Weaver,Yan Gomes,Justin Bour,Jose Ramirez,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Michael Brantley,Odubel Herrera"
96,1063156165,scout326,100.55,Jose Peraza,SS,2.00,0,Jose Quintana,Eduardo Rodriguez,Yadier Molina,Hanley Ramirez,Eduardo Nunez,Rafael Devers,Xander Bogaerts,"Mookie Betts,Tommy Pham,Dexter Fowler"
97,1063261147,trebelg9,100.35,C.J. Cron,1B,2.00,16,Jose Quintana,Luke Weaver,Evan Gattis,Neil Walker,Jonathan Schoop,Alex Bregman,Manny Machado,"Aaron Judge,Mookie Betts,Ryan Braun"
98,1063277540,REDCOAT85,100.05,Taijuan Walker,P,2.00,14.5,Jake Arrieta,Eduardo Rodriguez,Willson Contreras,Trey Mancini,Neil Walker,Danny Valencia,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
99,1063109990,shawnzhan,99.35,Hernan Perez,OF,2.00,0,Jose Quintana,Luke Weaver,Willson Contreras,Jose Abreu,Jose Ramirez,Matt Davidson,Tim Anderson,"Aaron Judge,Avisail Garcia,Leury Garcia"
99,1063178727,m3deman,99.35,Scooter Gennett,2B,1.80,2,Jose Quintana,Luke Weaver,Willson Contreras,Matt Carpenter,Jonathan Schoop,Manny Machado,Xander Bogaerts,"Rhys Hoskins,J.D. Martinez,Trey Mancini"
101,1063554868,MIKERUSH10,99.3,Jesse Winker,OF,1.80,0,Jake Arrieta,Chase Anderson,Yan Gomes,Neil Walker,Yolmer Sanchez,Tim Beckham,Eduardo Nunez,"Rhys Hoskins,Aaron Judge,Niko Goodrum"
102,1063156166,scout326,99.2,Rafael Devers,3B,1.80,13,Charlie Morton,Jose Quintana,Austin Romine,Jose Abreu,Yoan Moncada,Jace Peterson,Ronald Torreyes,"Giancarlo Stanton,Brett Gardner,Avisail Garcia"
102,1063213500,reztes757,99.2,Francisco Cervelli,C,1.80,2,Charlie Morton,Taijuan Walker,Alex Avila,Paul Goldschmidt,Neil Walker,Daniel Descalso,Ketel Marte,"David Peralta,Josh Reddick,Brett Gardner"
104,1063309714,jeremyshow,98.75,Trevor Richards,P,1.80,1.6,Mike Clevinger,Jameson Taillon,Yadier Molina,Jose Abreu,Yoan Moncada,Matt Davidson,Daniel Robertson,"Tommy Pham,Kevin Kiermaier,Dexter Fowler"
105,1063108462,youdacao,98.55,Whit Merrifield,2B,1.60,3,Charlie Morton,Luke Weaver,Willson Contreras,Carlos Santana,Ben Zobrist,Alex Bregman,Addison Russell,"Kyle Schwarber,Albert Almora,Nick Williams"
