Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
479,1063486111,mazwa,41.05,,,,,Jose Quintana,Jordan Montgomery,Evan Gattis,Justin Bour,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Tommy Pham,Dexter Fowler"
480,1063352629,wakeywakey,40.6,,,,,Eduardo Rodriguez,Reynaldo Lopez,Manny Pina,Jesus Aguilar,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
481,1063024485,papagates,40.5,,,,,Jake Arrieta,Jose Quintana,Tucker Barnhart,Paul Goldschmidt,Scooter Gennett,Kris Bryant,Addison Russell,"Kyle Schwarber,Adam Duvall,Billy Hamilton"
482,1063490332,webbbryan1,40.05,,,,,Tyler Mahle,Jordan Montgomery,Austin Hedges,Tyler Austin,Jose Altuve,Kris Bryant,Xander Bogaerts,"Aaron Judge,J.D. Martinez,Manuel Margot"
483,1063070522,felder15,39.25,,,,,Charlie Morton,Jordan Montgomery,Andrew Knapp,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Jose Martinez,Dexter Fowler"
484,1063245029,KillerKazoo,38.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Andrew Knapp,Edwin Encarnacion,Jose Altuve,Kris Bryant,Francisco Lindor,"Aaron Judge,Jose Martinez,Bradley Zimmer"
484,1063363160,nawmsayin,38.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Manny Pina,Ryan Braun,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Domingo Santana"
486,1063486109,mazwa,37.45,,,,,Mike Clevinger,Jordan Montgomery,Evan Gattis,Matt Carpenter,Derek Dietrich,Alex Bregman,Carlos Correa,"Aaron Judge,Tommy Pham,Dexter Fowler"
487,1063109978,shawnzhan,37.05,,,,,Jordan Montgomery,Mike Fiers,Evan Gattis,Ryan Braun,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Kyle Schwarber,Michael Brantley"
488,1063437149,yolegacy,36.95,,,,,Mike Clevinger,Eduardo Rodriguez,Tucker Barnhart,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Michael Brantley,Adam Duvall,Jesse Winker"
489,1063532669,Wreck-Havoc-22,36.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Andrew Knapp,Matt Davidson,Jose Altuve,Kris Bryant,Carlos Correa,"George Springer,Marwin Gonzalez,Niko Goodrum"
490,1063156174,scout326,36.05,,,,,Jake Arrieta,Eduardo Rodriguez,Welington Castillo,Edwin Encarnacion,Yoan Moncada,Jose Ramirez,Francisco Lindor,"Avisail Garcia,Nicky Delmonico,Leury Garcia"
491,1063342871,alanbr,35.45,,,,,Mike Clevinger,Jordan Montgomery,Jesus Sucre,Matt Davidson,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Tyler Naquin,Braxton Lee"
492,1063209727,Abklurch,35.05,,,,,Tyler Mahle,Reynaldo Lopez,Welington Castillo,Joey Votto,Jose Ramirez,Alex Bregman,Xander Bogaerts,"George Springer,Marcell Ozuna,Tommy Pham"
493,1063108456,youdacao,33.4,,,,,Jordan Montgomery,Luke Weaver,Evan Gattis,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
493,1063108459,youdacao,33.4,,,,,Jordan Montgomery,Luke Weaver,Evan Gattis,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
493,1063424639,perkinpat,33.4,,,,,Jordan Montgomery,Luke Weaver,Evan Gattis,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Ian Happ,Marcell Ozuna"
496,1062996442,ChipotleAddict,31.05,,,,,Jose Quintana,Jordan Montgomery,Welington Castillo,Edwin Encarnacion,Yoan Moncada,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Nicky Delmonico,Leury Garcia"
497,1063505227,vikingsman116,29.9,,,,,Mike Clevinger,Jake Arrieta,Evan Gattis,Edwin Encarnacion,Scooter Gennett,Kris Bryant,Jose Peraza,"Adam Duvall,Billy Hamilton,Jesse Winker"
498,1063401046,rpqk01,27.05,,,,,Tyler Mahle,Jordan Montgomery,Yadier Molina,Jose Martinez,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Billy Hamilton"
499,1063525124,ilikepie123,22.5,,,,,Jake Arrieta,Tyler Mahle,Evan Gattis,Trey Mancini,Jose Altuve,Kris Bryant,Carlos Correa,"Marwin Gonzalez,Domingo Santana,Hernan Perez"
500,1063580623,chef2284,20.6,,,,,Jake Arrieta,Trevor Richards,Welington Castillo,Paul Goldschmidt,Yoan Moncada,Kris Bryant,Carlos Correa,"J.D. Martinez,Tommy Pham,Michael Brantley"
