PF/C,Jason Smith,3100,MIN@WAS 03/13/2018 07:00PM ET,7.0,WAS
SG/SF,Alex Abrines,3000,OKC@ATL 03/13/2018 07:30PM ET,9.222000000000001,OKC
PG/SG,PJ Dozier,3000,OKC@ATL 03/13/2018 07:30PM ET,1.375,OKC
SF,Andrew White III,3000,OKC@ATL 03/13/2018 07:30PM ET,9.15,ATL
SG/SF,Josh Huestis,3000,OKC@ATL 03/13/2018 07:30PM ET,7.832999999999999,OKC
SG/SF,Terrance Ferguson,3000,OKC@ATL 03/13/2018 07:30PM ET,5.685,OKC
SG/SF,Andre Roberson,3000,OKC@ATL 03/13/2018 07:30PM ET,16.494,OKC
SF,Daniel Hamilton,3000,OKC@ATL 03/13/2018 07:30PM ET,7.688,OKC
PF/C,Nick Collison,3000,OKC@ATL 03/13/2018 07:30PM ET,4.729,OKC
SG/SF,Kyle Singler,3000,OKC@ATL 03/13/2018 07:30PM ET,3.333,OKC
PF,Tyler Cavanaugh,3000,OKC@ATL 03/13/2018 07:30PM ET,12.161,ATL
SG,Antonius Cleveland,3000,OKC@ATL 03/13/2018 07:30PM ET,4.045,ATL
SG,C.J. Williams,3000,LAC@CHI 03/13/2018 08:00PM ET,12.955,LAC
SG,Tyrone Wallace,3000,LAC@CHI 03/13/2018 08:00PM ET,21.288,LAC
SG,Jarell Eddie,3000,LAC@CHI 03/13/2018 08:00PM ET,1.083,CHI
PG,Ryan Arcidiacono,3000,LAC@CHI 03/13/2018 08:00PM ET,4.096,CHI
SF/PF,Sam Dekker,3000,LAC@CHI 03/13/2018 08:00PM ET,9.026,LAC
PG/SG,Sean Kilpatrick,3000,LAC@CHI 03/13/2018 08:00PM ET,7.875,LAC
PG/SG,Patrick Beverley,3000,LAC@CHI 03/13/2018 08:00PM ET,25.976999999999997,LAC
PG,Antonio Blakeney,3000,LAC@CHI 03/13/2018 08:00PM ET,10.892999999999999,CHI
SF/PF,Paul Zipser,3000,LAC@CHI 03/13/2018 08:00PM ET,9.417,CHI
PG,Jerian Grant,3000,LAC@CHI 03/13/2018 08:00PM ET,20.3,CHI
C,Omer Asik,3000,LAC@CHI 03/13/2018 08:00PM ET,5.053999999999999,CHI
PG/SG,Dante Exum,3000,DET@UTA 03/13/2018 09:00PM ET,0.0,UTA
PG/SG,Nazareth Mitrou-Long,3000,DET@UTA 03/13/2018 09:00PM ET,3.5,UTA
PG/SG,Alec Burks,3000,DET@UTA 03/13/2018 09:00PM ET,15.215,UTA
PG,Raul Neto,3000,DET@UTA 03/13/2018 09:00PM ET,9.468,UTA
PG/SG,Langston Galloway,3000,DET@UTA 03/13/2018 09:00PM ET,11.308,DET
PF/C,Henry Ellenson,3000,DET@UTA 03/13/2018 09:00PM ET,5.74,DET
PG/SG,Jameer Nelson,3000,DET@UTA 03/13/2018 09:00PM ET,13.985,DET
SF/PF,Georges Niang,3000,DET@UTA 03/13/2018 09:00PM ET,2.25,UTA
SF/PF,Erik McCree,3000,DET@UTA 03/13/2018 09:00PM ET,0.0,UTA
SG/SF,Thabo Sefolosha,3000,DET@UTA 03/13/2018 09:00PM ET,18.283,UTA
PF/C,Tony Bradley,3000,DET@UTA 03/13/2018 09:00PM ET,2.583,UTA
C,Ekpe Udoh,3000,DET@UTA 03/13/2018 09:00PM ET,11.375,UTA
SG,Reggie Hearn,3000,DET@UTA 03/13/2018 09:00PM ET,1.75,DET
PF/C,Jon Leuer,3000,DET@UTA 03/13/2018 09:00PM ET,11.875,DET
PG,Kay Felder,3000,DET@UTA 03/13/2018 09:00PM ET,7.553999999999999,DET
SF/PF,Alec Peters,3000,CLE@PHO 03/13/2018 10:00PM ET,6.091,PHO
