"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Gordon Hayward",3000,"DAL@BOS 12/06/2017 07:30PM ET",3.250,"BOS"
"SG","Jabari Bird",3000,"DAL@BOS 12/06/2017 07:30PM ET",2.125,"BOS"
"PG","Edmond Sumner",3000,"CHI@IND 12/06/2017 07:00PM ET",0,"IND"
"SF/PF","TJ Leaf",3000,"CHI@IND 12/06/2017 07:00PM ET",7.363,"IND"
"SF","Alex Poythress",3000,"CHI@IND 12/06/2017 07:00PM ET",1.917,"IND"
"PF/C","Ike Anigbogu",3000,"CHI@IND 12/06/2017 07:00PM ET",2.000,"IND"
"PG/SG","Joe Young",3000,"CHI@IND 12/06/2017 07:00PM ET",4.827,"IND"
"SG/SF","Damien Wilkins",3000,"CHI@IND 12/06/2017 07:00PM ET",3.038,"IND"
"PF/C","Cristiano Felicio",3000,"CHI@IND 12/06/2017 07:00PM ET",9.288,"CHI"
"SG/SF","Quincy Pondexter",3000,"CHI@IND 12/06/2017 07:00PM ET",6.133,"CHI"
"PG","Ryan Arcidiacono",3000,"CHI@IND 12/06/2017 07:00PM ET",1.500,"CHI"
"PG","Kay Felder",3000,"CHI@IND 12/06/2017 07:00PM ET",7.923,"CHI"
"PG/SG","Cameron Payne",3000,"CHI@IND 12/06/2017 07:00PM ET",0,"CHI"
"PF","Jack Cooley",3000,"SAC@CLE 12/06/2017 07:00PM ET",4.750,"SAC"
"SG/SF","Vince Carter",3000,"SAC@CLE 12/06/2017 07:00PM ET",6.714,"SAC"
"SG/SF","Malachi Richardson",3000,"SAC@CLE 12/06/2017 07:00PM ET",6.979,"SAC"
"SF/PF","Jakarr Sampson",3000,"SAC@CLE 12/06/2017 07:00PM ET",8.333,"SAC"
"PF/C","Harry Giles",3000,"SAC@CLE 12/06/2017 07:00PM ET",0,"SAC"
"C","Georgios Papagiannis",3000,"SAC@CLE 12/06/2017 07:00PM ET",5.313,"SAC"
"SG/SF","Cedi Osman",3000,"SAC@CLE 12/06/2017 07:00PM ET",4.375,"CLE"
"SG/SF","John Holland",3000,"SAC@CLE 12/06/2017 07:00PM ET",1.833,"CLE"
