Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
53,1055431832,Sqweatybalz,0,115.1,P CC Sabathia P Luis Castillo OF Giancarlo Stanton OF Mike Trout OF Aaron Judge 2B José Altuve SS Carlos Correa C Gary Sánchez 3B Alex Bregman 1B Justin Smoak,Scooter Gennett,2B,3.53,8.0,333,0
54,1055521918,monds6 (5/5),0,114.9,P Stephen Strasburg P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman 1B Matt Olson OF Matt Joyce OF Jake Marisnick C Bruce Maxwell,Matt Wieters,C,3.53,7.0,333,0
55,1055416564,mw0315,0,114.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer 3B Alex Bregman OF Joey Gallo SS Elvis Andrus C Evan Gattis 1B Justin Smoak OF Nomar Mazara,Elvis Andrus,SS,3.53,23.0,333,0
55,1055648906,bw5126,0,114.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B José Altuve C Gary Sánchez SS Didi Gregorius 3B Brandon Drury 1B Matt Adams OF Billy McKinney,CC Sabathia,P,3.53,13.05,333,0
57,1055434029,Duncaroo,0,114.6,P Jacob deGrom P Stephen Strasburg OF Nelson Cruz 2B Robinson Canó 1B Justin Smoak 3B Kyle Seager OF Nomar Mazara SS Jean Segura OF Randal Grichuk C Mike Marjama,Luis Valbuena,1B,2.94,3.0,333,0
58,1055589289,camv22,0,113.65,P Michael Wacha P Matt Shoemaker OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Evan Gattis 3B Brandon Drury 1B Matt Adams,Yoenis Céspedes,OF,2.94,22.0,333,0
59,1055529650,Quahogs,0,111.9,P Stephen Strasburg P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B José Martínez OF Matt Joyce OF Randal Grichuk,Michael Fulmer,P,2.94,0.0,333,0
60,1055520520,giantsquid,0,111.05,P James Paxton P Marco Estrada OF Bryce Harper OF Mike Trout 2B José Altuve OF George Springer 3B Alex Bregman SS Marwin González C Evan Gattis 1B Matt Adams,Miguel Cabrera,1B,2.94,0.0,333,0
61,1055595542,bric75 (2/4),0,110.9,P Stephen Strasburg P Luis Castillo OF Mike Trout OF Aaron Judge OF George Springer C Gary Sánchez SS Didi Gregorius 3B Adrián Beltré 2B Neil Walker 1B Tyler Austin,Bruce Maxwell,C,2.94,3.0,333,0
62,1055401807,jontlevy,0,110.55,P James Paxton P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez OF Justin Upton 1B Albert Pujols 3B J.D. Davis,Aledmys Díaz,SS,2.35,0.0,333,0
63,1055607085,Stonesalltheway (2/2),0,110.25,P Jacob deGrom P James Paxton 2B José Altuve OF George Springer SS Marwin González C Evan Gattis 1B Justin Smoak OF Matt Joyce 3B J.D. Davis OF Matt Adams,José Martínez,1B,2.35,10.0,333,0
64,1055495377,thepickler (4/5),0,109.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Tyler Austin,Leonys Martin,OF,2.35,0.0,333,0
65,1055362275,ChipotleAddict (1/5),0,109.25,P Jacob deGrom P James Paxton OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte,John Hicks,C,2.35,0.0,333,0
66,1055302399,Ebonwraith,0,108.35,P Stephen Strasburg P James Paxton OF Bryce Harper 2B José Altuve OF George Springer 3B Josh Donaldson OF Randal Grichuk 1B Matt Adams SS Yangervis Solarte C Mike Marjama,Tommy Pham,OF,2.35,7.0,333,0
67,1055581967,wilson1,0,107.8,P Jacob deGrom P Luis Castillo OF George Springer SS Carlos Correa 3B Alex Bregman OF Joey Gallo OF Marwin González C Evan Gattis 1B Justin Smoak 2B Neil Walker,Joey Votto,1B,1.76,5.0,333,0
68,1055626439,Kmilk2,0,106.55,P James Paxton P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 1B Matt Olson OF Marwin González 3B J.D. Davis,Juan Centeno,C,1.76,0.0,333,0
69,1055583682,isupol (1/3),0,105.75,P Jacob deGrom P Lance McCullers Jr. OF Khris Davis 1B Matt Olson 3B Josh Donaldson SS Marcus Semien 2B Jed Lowrie OF Randal Grichuk OF Steve Pearce C Bruce Maxwell,Dee Gordon,OF,1.76,8.0,333,0
70,1055410846,felder15 (3/3),0,105.7,P Lance McCullers Jr. P Michael Wacha OF Giancarlo Stanton OF Aaron Judge C Gary Sánchez SS Zack Cozart 1B Justin Smoak 3B Brandon Drury 2B Neil Walker OF Kevin Pillar,Adrián Beltré,3B,1.76,7.0,333,0
71,1055642923,devo1099,0,105.55,P James Paxton P Luis Castillo OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa 1B Joey Votto 3B Alex Bregman C Evan Gattis OF Scott Schebler,José Ramírez,3B,1.76,0.0,333,0
72,1055595541,bric75 (1/4),0,105.25,P Jacob deGrom P James Paxton OF Giancarlo Stanton 2B José Altuve 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce SS Yangervis Solarte,Adrián González,1B,1.76,3.0,333,0
73,1055510276,davewiff (2/4),0,104.9,P Stephen Strasburg P Luis Castillo OF George Springer SS Carlos Correa 3B Alex Bregman 1B Matt Olson OF Joey Gallo C Evan Gattis 2B Neil Walker OF Jake Marisnick,Nomar Mazara,OF,1.76,8.0,333,0
74,1055617619,Tiii,0,104.85,P Stephen Strasburg P Michael Fulmer 2B José Altuve OF George Springer OF Yoenis Céspedes 3B Josh Donaldson SS Marcus Semien 1B Justin Smoak C John Hicks OF Steve Pearce,Jeimer Candelario,3B,1.76,0.0,333,0
75,1055327346,thepickler (1/5),0,104.75,P Michael Wacha P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak,Daniel Mengden,P,1.76,7.95,333,0
76,1055310252,wakeywakey (3/3),0,104.55,P James Paxton P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman OF Joey Gallo 1B Justin Smoak,Asdrúbal Cabrera,2B,1.18,17.0,333,0
77,1055504599,davewiff (1/4),0,104.35,P Stephen Strasburg P James Paxton OF Bryce Harper SS Trea Turner 3B Josh Donaldson 1B Justin Smoak C Matt Wieters OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte,Dixon Machado,2B,1.18,0.0,333,0
