"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Dwayne Bacon",3000,"CHA@ATL 03/15/2018 07:30PM ET",6.409,"CHA"
"PG","Michael Carter-Williams",3000,"CHA@ATL 03/15/2018 07:30PM ET",13.471,"CHA"
"PG/SG","Malik Monk",3000,"CHA@ATL 03/15/2018 07:30PM ET",8.321,"CHA"
"SG","Antonius Cleveland",3000,"CHA@ATL 03/15/2018 07:30PM ET",4.045,"ATL"
"PF","Tyler Cavanaugh",3000,"CHA@ATL 03/15/2018 07:30PM ET",12.043,"ATL"
"SG/SF","Kent Bazemore",3000,"CHA@ATL 03/15/2018 07:30PM ET",26.977,"ATL"
"SF/PF","Erik McCree",3000,"PHO@UTA 03/15/2018 09:00PM ET",0.688,"UTA"
"SF/PF","Georges Niang",3000,"PHO@UTA 03/15/2018 09:00PM ET",2.813,"UTA"
"PG/SG","Dante Exum",3000,"PHO@UTA 03/15/2018 09:00PM ET",0,"UTA"
"PG/SG","Alec Burks",3000,"PHO@UTA 03/15/2018 09:00PM ET",15.138,"UTA"
"SG/SF","Thabo Sefolosha",3000,"PHO@UTA 03/15/2018 09:00PM ET",18.283,"UTA"
"PG","Raul Neto",3000,"PHO@UTA 03/15/2018 09:00PM ET",9.468,"UTA"
"PF/C","Tony Bradley",3000,"PHO@UTA 03/15/2018 09:00PM ET",2.583,"UTA"
"C","Ekpe Udoh",3000,"PHO@UTA 03/15/2018 09:00PM ET",11.168,"UTA"
"SF/PF","Alec Peters",3000,"PHO@UTA 03/15/2018 09:00PM ET",6.091,"PHO"
"C","Alan Williams",3000,"PHO@UTA 03/15/2018 09:00PM ET",0,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@UTA 03/15/2018 09:00PM ET",0,"PHO"
"SG/SF","Danuel House",3000,"PHO@UTA 03/15/2018 09:00PM ET",9.109,"PHO"
"SF/PF","Nigel Hayes",3000,"TOR@IND 03/15/2018 07:00PM ET",3.125,"TOR"
"PG","Lorenzo Brown",3000,"TOR@IND 03/15/2018 07:00PM ET",4.545,"TOR"
"PF","Lucas Nogueira",3000,"TOR@IND 03/15/2018 07:00PM ET",7.695,"TOR"
"PF","Malcolm Miller",3000,"TOR@IND 03/15/2018 07:00PM ET",4.75,"TOR"
"PF","Alfonzo McKinnie",3000,"TOR@IND 03/15/2018 07:00PM ET",2.667,"TOR"
"SG/SF","Malachi Richardson",3000,"TOR@IND 03/15/2018 07:00PM ET",6.692,"TOR"
